slug,date,open,high,low,close,currency
EUR/AED,01/12/2003,4.3982,4.4153,4.3828,4.3888,AED
EUR/AED,02/12/2003,4.3953,4.4369,4.3861,4.436,AED
EUR/AED,03/12/2003,4.4375,4.4507,4.4331,4.4393,AED
EUR/AED,04/12/2003,4.4278,4.4555,4.4241,4.4327,AED
EUR/AED,05/12/2003,4.4401,4.4633,4.4296,4.4633,AED
EUR/AED,08/12/2003,4.4662,4.4911,4.4643,4.4871,AED
EUR/AED,09/12/2003,4.4919,4.5045,4.4783,4.4885,AED
EUR/AED,10/12/2003,4.4808,4.4999,4.4632,4.4852,AED
EUR/AED,11/12/2003,4.4751,4.4752,4.4513,4.4648,AED
EUR/AED,12/12/2003,4.4871,4.5073,4.4871,4.5076,AED
EUR/AED,15/12/2003,4.4869,4.5139,4.4789,4.5108,AED
EUR/AED,16/12/2003,4.5273,4.5352,4.5198,4.5255,AED
EUR/AED,17/12/2003,4.5231,4.5485,4.5148,4.5485,AED
EUR/AED,18/12/2003,4.5524,4.5614,4.5403,4.5463,AED
EUR/AED,19/12/2003,4.56,4.5632,4.5343,4.5436,AED
EUR/AED,22/12/2003,4.549,4.5668,4.548,4.5575,AED
EUR/AED,23/12/2003,4.5534,4.6503,4.549,4.6489,AED
EUR/AED,29/12/2003,4.5719,4.5902,4.5686,4.5832,AED
EUR/AED,30/12/2003,4.5851,4.6002,4.5851,4.5993,AED
EUR/AED,31/12/2003,4.4913,4.4913,4.4913,4.4913,AED
EUR/AED,02/01/2004,4.6122,4.6339,4.6107,4.6225,AED
EUR/AED,05/01/2004,4.6482,4.6592,4.6385,4.6553,AED
EUR/AED,06/01/2004,4.6645,4.7004,4.6638,4.6899,AED
EUR/AED,07/01/2004,4.6899,4.6899,4.6451,4.65,AED
EUR/AED,08/01/2004,4.6245,4.6884,4.6121,4.6881,AED
EUR/AED,09/01/2004,4.6745,4.7224,4.6683,4.7179,AED
EUR/AED,12/01/2004,4.7149,4.7333,4.6886,4.7006,AED
EUR/AED,13/01/2004,4.6855,4.6961,4.6708,4.6789,AED
EUR/AED,14/01/2004,4.675,4.6763,4.6363,4.6723,AED
EUR/AED,15/01/2004,4.6495,4.6503,4.6231,4.6243,AED
EUR/AED,16/01/2004,4.6238,4.6238,4.5455,4.5515,AED
EUR/AED,19/01/2004,4.5471,4.5603,4.5296,4.5441,AED
EUR/AED,20/01/2004,4.5485,4.6231,4.5468,4.6191,AED
EUR/AED,21/01/2004,4.6208,4.6485,4.6184,4.6302,AED
EUR/AED,22/01/2004,4.6497,4.6794,4.6419,4.6689,AED
EUR/AED,23/01/2004,4.6673,4.689,4.6313,4.6292,AED
EUR/AED,26/01/2004,4.6151,4.6298,4.5998,4.6067,AED
EUR/AED,27/01/2004,4.5769,4.6393,4.5687,4.6425,AED
EUR/AED,28/01/2004,4.6306,4.6393,4.608,4.6315,AED
EUR/AED,29/01/2004,4.5761,4.5973,4.5401,4.5469,AED
EUR/AED,30/01/2004,4.5493,4.5757,4.539,4.5713,AED
EUR/AED,02/02/2004,4.5696,4.5801,4.5622,4.5629,AED
EUR/AED,03/02/2004,4.6043,4.6096,4.5928,4.6043,AED
EUR/AED,04/02/2004,4.6043,4.6096,4.5928,4.6049,AED
EUR/AED,05/02/2004,4.6023,4.6376,4.6023,4.628,AED
EUR/AED,06/02/2004,4.6028,4.6691,4.5945,4.6611,AED
EUR/AED,09/02/2004,4.6752,4.6825,4.6479,4.6525,AED
EUR/AED,10/02/2004,4.6807,4.6931,4.6611,4.6727,AED
EUR/AED,11/02/2004,4.6635,4.7032,4.6465,4.7122,AED
EUR/AED,12/02/2004,4.7092,4.7116,4.6973,4.701,AED
EUR/AED,13/02/2004,4.7097,4.7265,4.6706,4.6797,AED
EUR/AED,16/02/2004,4.6752,4.6937,4.6752,4.689,AED
EUR/AED,17/02/2004,4.6866,4.7248,4.6862,4.7159,AED
EUR/AED,18/02/2004,4.741,4.7433,4.6999,4.704,AED
EUR/AED,19/02/2004,4.704,4.704,4.6473,4.6596,AED
EUR/AED,20/02/2004,4.6635,4.6644,4.6076,4.6124,AED
EUR/AED,23/02/2004,4.6121,4.6212,4.5938,4.6149,AED
EUR/AED,24/02/2004,4.6055,4.6603,4.6004,4.6603,AED
EUR/AED,25/02/2004,4.6603,4.6607,4.5895,4.5916,AED
EUR/AED,26/02/2004,4.5886,4.5889,4.549,4.5689,AED
EUR/AED,27/02/2004,4.5654,4.5814,4.5427,4.5689,AED
EUR/AED,01/03/2004,4.5974,4.6022,4.565,4.5632,AED
EUR/AED,02/03/2004,4.5657,4.5657,4.4926,4.4856,AED
EUR/AED,03/03/2004,4.4737,4.4828,4.429,4.4421,AED
EUR/AED,04/03/2004,4.479,4.491,4.4568,4.491,AED
EUR/AED,05/03/2004,4.491,4.5614,4.4729,4.5515,AED
EUR/AED,08/03/2004,4.5449,4.5499,4.5321,4.5413,AED
EUR/AED,09/03/2004,4.5711,4.5712,4.5366,4.5627,AED
