slug,date,open,high,low,close,currency
EUR/BRL,01/12/2003,3.4621,3.4621,3.4621,3.4621,BRL
EUR/BRL,02/12/2003,3.4151,3.4151,3.4151,3.4151,BRL
EUR/BRL,03/12/2003,3.4799,3.4799,3.4799,3.4799,BRL
EUR/BRL,04/12/2003,3.4597,3.4597,3.4597,3.4597,BRL
EUR/BRL,05/12/2003,3.4794,3.4794,3.4794,3.4794,BRL
EUR/BRL,08/12/2003,3.5075,3.5075,3.5075,3.5075,BRL
EUR/BRL,09/12/2003,3.5261,3.5261,3.5261,3.5261,BRL
EUR/BRL,10/12/2003,3.5146,3.5146,3.5146,3.5146,BRL
EUR/BRL,11/12/2003,3.4965,3.4965,3.4965,3.4965,BRL
EUR/BRL,12/12/2003,3.525,3.525,3.525,3.525,BRL
EUR/BRL,15/12/2003,3.5064,3.5064,3.5064,3.5064,BRL
EUR/BRL,16/12/2003,3.5229,3.5229,3.5229,3.5229,BRL
EUR/BRL,17/12/2003,3.5468,3.5468,3.5468,3.5468,BRL
EUR/BRL,18/12/2003,3.5572,3.5572,3.5572,3.5572,BRL
EUR/BRL,19/12/2003,3.5576,3.5576,3.5576,3.5576,BRL
EUR/BRL,22/12/2003,3.5564,3.5564,3.5564,3.5564,BRL
EUR/BRL,23/12/2003,3.5443,3.5443,3.5443,3.5443,BRL
EUR/BRL,29/12/2003,3.549,3.549,3.549,3.549,BRL
EUR/BRL,30/12/2003,3.5176,3.5176,3.5176,3.5176,BRL
EUR/BRL,31/12/2003,3.5176,3.5176,3.5176,3.5176,BRL
EUR/BRL,02/01/2004,3.5597,3.5597,3.5597,3.5597,BRL
EUR/BRL,05/01/2004,3.5634,3.5634,3.5634,3.5634,BRL
EUR/BRL,06/01/2004,3.5426,3.5426,3.5426,3.5426,BRL
EUR/BRL,07/01/2004,3.5687,3.5687,3.5687,3.5687,BRL
EUR/BRL,08/01/2004,3.5217,3.5217,3.5217,3.5217,BRL
EUR/BRL,09/01/2004,3.5525,3.5525,3.5525,3.5525,BRL
EUR/BRL,12/01/2004,3.5517,3.5517,3.5517,3.5517,BRL
EUR/BRL,13/01/2004,3.4672,3.4672,3.4672,3.4672,BRL
EUR/BRL,14/01/2004,3.4872,3.4872,3.4872,3.4872,BRL
EUR/BRL,15/01/2004,3.4753,3.4753,3.4753,3.4753,BRL
EUR/BRL,16/01/2004,3.4379,3.4379,3.4379,3.4379,BRL
EUR/BRL,19/01/2004,3.4236,3.4236,3.4236,3.4236,BRL
EUR/BRL,20/01/2004,3.4687,3.4687,3.4687,3.4687,BRL
EUR/BRL,21/01/2004,3.4993,3.4993,3.4993,3.4993,BRL
EUR/BRL,22/01/2004,3.5327,3.5327,3.5327,3.5327,BRL
EUR/BRL,23/01/2004,3.5358,3.5358,3.5358,3.5358,BRL
EUR/BRL,26/01/2004,3.4942,3.4942,3.4942,3.4942,BRL
