slug,date,open,high,low,close,currency
EUR/CNY,01/12/2003,9.8971,9.9412,9.8663,9.8754,CNY
EUR/CNY,02/12/2003,9.8765,9.9851,9.8667,9.9826,CNY
EUR/CNY,03/12/2003,9.9859,10.0164,9.9758,9.9903,CNY
EUR/CNY,04/12/2003,9.9643,10.0345,9.9447,9.9732,CNY
EUR/CNY,05/12/2003,9.9914,10.048,9.9661,10.041,CNY
EUR/CNY,08/12/2003,10.0501,10.1074,10.0426,10.0921,CNY
EUR/CNY,09/12/2003,10.1083,10.1397,10.0723,10.1004,CNY
EUR/CNY,10/12/2003,10.083,10.1301,10.0445,10.0933,CNY
EUR/CNY,11/12/2003,10.0701,10.0742,10.0156,10.0487,CNY
EUR/CNY,12/12/2003,10.0975,10.1455,10.0942,10.1455,CNY
EUR/CNY,15/12/2003,10.0972,10.1589,10.0769,10.1531,CNY
EUR/CNY,16/12/2003,10.1887,10.2059,10.1716,10.1857,CNY
EUR/CNY,17/12/2003,10.179,10.238,10.1593,10.2318,CNY
EUR/CNY,18/12/2003,10.2446,10.2711,10.2123,10.2198,CNY
EUR/CNY,19/12/2003,10.2612,10.2696,10.2017,10.2244,CNY
EUR/CNY,22/12/2003,10.2369,10.2769,10.2338,10.2549,CNY
EUR/CNY,23/12/2003,10.2463,10.4667,10.233,10.4622,CNY
EUR/CNY,29/12/2003,10.2883,10.3303,10.2796,10.3141,CNY
EUR/CNY,30/12/2003,10.3183,10.3536,10.3183,10.3445,CNY
EUR/CNY,31/12/2003,10.0463,10.0463,10.0463,10.0463,CNY
EUR/CNY,02/01/2004,10.3784,10.4308,10.3747,10.401,CNY
EUR/CNY,05/01/2004,10.4598,10.4859,10.4384,10.4756,CNY
EUR/CNY,06/01/2004,10.4968,10.5792,10.4939,10.5544,CNY
EUR/CNY,07/01/2004,10.5519,10.5519,10.4536,10.4643,CNY
EUR/CNY,08/01/2004,10.4072,10.5537,10.3786,10.5521,CNY
EUR/CNY,09/01/2004,10.5156,10.6279,10.5005,10.6226,CNY
EUR/CNY,12/01/2004,10.6106,10.6528,10.551,10.5762,CNY
EUR/CNY,13/01/2004,10.5456,10.5689,10.5106,10.5176,CNY
EUR/CNY,14/01/2004,10.5201,10.5234,10.4177,10.5143,CNY
EUR/CNY,15/01/2004,10.463,10.4666,10.4024,10.4024,CNY
EUR/CNY,16/01/2004,10.4045,10.4045,10.2282,10.2402,CNY
EUR/CNY,19/01/2004,10.2318,10.2616,10.1923,10.2246,CNY
EUR/CNY,20/01/2004,10.2354,10.4049,10.2312,10.3945,CNY
EUR/CNY,21/01/2004,10.3987,10.4634,10.393,10.4228,CNY
EUR/CNY,22/01/2004,10.4638,10.5292,10.4431,10.5068,CNY
EUR/CNY,23/01/2004,10.5031,10.5528,10.417,10.4187,CNY
EUR/CNY,26/01/2004,10.3856,10.4154,10.3516,10.3707,CNY
EUR/CNY,27/01/2004,10.3003,10.4476,10.2796,10.4476,CNY
EUR/CNY,28/01/2004,10.4203,10.441,10.3686,10.4228,CNY
EUR/CNY,29/01/2004,10.2982,10.3465,10.2166,10.2348,CNY
EUR/CNY,30/01/2004,10.2373,10.2962,10.2047,10.285,CNY
EUR/CNY,02/02/2004,10.2825,10.3076,10.2654,10.2654,CNY
EUR/CNY,03/02/2004,10.3617,10.3745,10.3269,10.3604,CNY
EUR/CNY,04/02/2004,10.3617,10.3745,10.3269,10.3666,CNY
EUR/CNY,05/02/2004,10.3567,10.4375,10.3559,10.4156,CNY
EUR/CNY,06/02/2004,10.3581,10.51,10.3386,10.4868,CNY
EUR/CNY,09/02/2004,10.5216,10.5365,10.4562,10.4698,CNY
EUR/CNY,10/02/2004,10.534,10.5636,10.4858,10.5148,CNY
EUR/CNY,11/02/2004,10.4949,10.595,10.4555,10.5896,CNY
EUR/CNY,12/02/2004,10.5975,10.6034,10.5703,10.581,CNY
EUR/CNY,13/02/2004,10.5992,10.642,10.5104,10.5311,CNY
EUR/CNY,16/02/2004,10.5208,10.5641,10.5187,10.5521,CNY
EUR/CNY,17/02/2004,10.5471,10.6362,10.5463,10.6159,CNY
EUR/CNY,18/02/2004,10.6693,10.6735,10.5675,10.5833,CNY
EUR/CNY,19/02/2004,10.5857,10.5857,10.458,10.4857,CNY
EUR/CNY,20/02/2004,10.4948,10.4956,10.3666,10.3795,CNY
EUR/CNY,23/02/2004,10.3791,10.4014,10.3381,10.3857,CNY
EUR/CNY,24/02/2004,10.3642,10.4956,10.3509,10.4857,CNY
EUR/CNY,25/02/2004,10.4874,10.4923,10.3213,10.3325,CNY
EUR/CNY,26/02/2004,10.3263,10.3291,10.2348,10.282,CNY
EUR/CNY,27/02/2004,10.2737,10.31,10.2231,10.2794,CNY
EUR/CNY,01/03/2004,10.3456,10.3572,10.266,10.271,CNY
EUR/CNY,02/03/2004,10.2739,10.2739,10.0934,10.0934,CNY
EUR/CNY,03/03/2004,10.0665,10.0868,9.966,9.9904,CNY
EUR/CNY,04/03/2004,10.0789,10.109,10.0275,10.1015,CNY
EUR/CNY,05/03/2004,10.1057,10.2666,10.0599,10.2434,CNY
EUR/CNY,08/03/2004,10.2275,10.2385,10.1979,10.219,CNY
EUR/CNY,09/03/2004,10.2861,10.2898,10.2087,10.2687,CNY
EUR/CNY,10/03/2004,10.2861,10.2898,10.0796,10.1003,CNY
EUR/CNY,11/03/2004,10.0879,10.1589,10.0513,10.1349,CNY
EUR/CNY,12/03/2004,10.1316,10.1494,10.0582,10.0714,CNY
EUR/CNY,15/03/2004,10.1145,10.1689,10.0895,10.1118,CNY
EUR/CNY,16/03/2004,10.1478,10.2207,10.1358,10.1284,CNY
EUR/CNY,17/03/2004,10.1309,10.1408,10.0619,10.0755,CNY
EUR/CNY,18/03/2004,10.1472,10.2486,10.1162,10.2379,CNY
EUR/CNY,19/03/2004,10.2395,10.2403,10.1357,10.1448,CNY
EUR/CNY,22/03/2004,10.1324,10.241,10.1253,10.2227,CNY
EUR/CNY,23/03/2004,10.2022,10.2163,10.1384,10.1703,CNY
EUR/CNY,24/03/2004,10.1846,10.1904,10.0505,10.0902,CNY
EUR/CNY,25/03/2004,10.0331,10.0702,9.9961,10.0557,CNY
EUR/CNY,26/03/2004,10.0213,10.0829,9.9807,9.984,CNY
EUR/CNY,29/03/2004,9.9898,10.0507,9.967,10.0404,CNY
EUR/CNY,30/03/2004,10.0669,10.0983,10.0503,10.0636,CNY
EUR/CNY,31/03/2004,10.1062,10.1744,10.0899,10.1541,CNY
EUR/CNY,01/04/2004,10.1471,10.2297,10.1247,10.1792,CNY
EUR/CNY,02/04/2004,10.2069,10.2086,10.0011,10.0211,CNY
EUR/CNY,05/04/2004,9.9893,10.0149,9.9011,9.9185,CNY
EUR/CNY,06/04/2004,9.9139,10.0079,9.9119,9.9872,CNY
EUR/CNY,07/04/2004,9.9628,10.065,9.959,10.0551,CNY
EUR/CNY,08/04/2004,10.0832,10.0882,9.9727,9.9859,CNY
EUR/CNY,13/04/2004,9.9736,9.9736,9.8349,9.8506,CNY
EUR/CNY,14/04/2004,9.8432,9.8763,9.8088,9.8642,CNY
EUR/CNY,15/04/2004,9.8713,9.9039,9.8286,9.8409,CNY
EUR/CNY,16/04/2004,9.9113,9.9495,9.8535,9.933,CNY
EUR/CNY,19/04/2004,9.9359,9.9755,9.9258,9.9283,CNY
EUR/CNY,20/04/2004,9.9113,9.9266,9.8182,9.8381,CNY
EUR/CNY,21/04/2004,9.7764,9.8349,9.7621,9.7902,CNY
EUR/CNY,22/04/2004,9.7699,9.8317,9.7472,9.7978,CNY
EUR/CNY,23/04/2004,9.8449,9.8474,9.7459,9.7521,CNY
EUR/CNY,26/04/2004,9.7372,9.8108,9.7356,9.7901,CNY
EUR/CNY,27/04/2004,9.7801,9.8571,9.7775,9.8522,CNY
EUR/CNY,28/04/2004,9.8298,9.8555,9.7731,9.7748,CNY
EUR/CNY,29/04/2004,9.7661,9.8941,9.7517,9.8672,CNY
EUR/CNY,30/04/2004,9.8841,9.915,9.8519,9.8927,CNY
EUR/CNY,03/05/2004,9.896,9.8976,9.8525,9.8641,CNY
EUR/CNY,04/05/2004,9.8658,9.9945,9.8658,9.9758,CNY
EUR/CNY,05/05/2004,10.0061,10.0561,10.0052,10.0487,CNY
EUR/CNY,06/05/2004,10.0495,10.0545,9.9667,9.9883,CNY
EUR/CNY,07/05/2004,9.958,9.982,9.8124,9.8182,CNY
EUR/CNY,10/05/2004,9.7754,9.8001,9.7575,9.7728,CNY
EUR/CNY,11/05/2004,9.7947,9.8204,9.7418,9.765,CNY
EUR/CNY,12/05/2004,9.8105,9.8602,9.7865,9.8387,CNY
EUR/CNY,13/05/2004,9.823,9.823,9.7388,9.7483,CNY
EUR/CNY,14/05/2004,9.7591,9.8212,9.7316,9.8104,CNY
EUR/CNY,17/05/2004,9.8816,9.9602,9.8758,9.9205,CNY
EUR/CNY,18/05/2004,9.9048,9.9324,9.874,9.8893,CNY
EUR/CNY,19/05/2004,9.9005,9.9441,9.8993,9.9288,CNY
EUR/CNY,21/05/2004,9.9138,9.9659,9.91,9.9216,CNY
EUR/CNY,24/05/2004,9.8848,9.8993,9.86,9.8964,CNY
EUR/CNY,25/05/2004,9.9273,10.0128,9.9273,9.9967,CNY
EUR/CNY,26/05/2004,9.9996,10.0253,9.9851,9.9975,CNY
EUR/CNY,27/05/2004,10.038,10.1402,10.0276,10.1365,CNY
EUR/CNY,28/05/2004,10.1394,10.1534,10.0811,10.0873,CNY
EUR/CNY,01/06/2004,10.0951,10.131,10.0738,10.0863,CNY
EUR/CNY,02/06/2004,10.131,10.1624,10.1144,10.1181,CNY
EUR/CNY,03/06/2004,10.0747,10.1183,10.0689,10.0806,CNY
EUR/CNY,04/06/2004,10.0922,10.1343,9.9981,10.126,CNY
EUR/CNY,07/06/2004,10.1831,10.1872,10.1665,10.1765,CNY
EUR/CNY,08/06/2004,10.1773,10.1988,10.1243,10.1384,CNY
EUR/CNY,09/06/2004,10.1082,10.1156,9.9816,9.9903,CNY
EUR/CNY,10/06/2004,9.9547,10.0036,9.9407,10.0036,CNY
EUR/CNY,11/06/2004,10.0036,10.0036,9.8873,9.9228,CNY
EUR/CNY,14/06/2004,9.9228,9.981,9.876,9.9728,CNY
EUR/CNY,15/06/2004,9.9719,10.029,9.9388,10.029,CNY
EUR/CNY,16/06/2004,10.0315,10.0497,9.8991,9.9173,CNY
EUR/CNY,17/06/2004,9.9285,9.967,9.9214,9.9471,CNY
EUR/CNY,18/06/2004,9.9471,10.0232,9.8921,10.0108,CNY
