slug,date,open,high,low,close,currency
EUR/RUB,01/12/2003,35.740002,35.779999,35.316002,35.509998,RUB
EUR/RUB,02/12/2003,35.509998,35.939999,35.375999,35.880001,RUB
EUR/RUB,03/12/2003,35.889999,36,35.709999,35.98,RUB
EUR/RUB,04/12/2003,35.959999,36.029999,35.625,35.84,RUB
EUR/RUB,05/12/2003,35.84,36.080002,35.617001,36.080002,RUB
EUR/RUB,08/12/2003,36.029999,36.155998,35.784,36.09,RUB
EUR/RUB,09/12/2003,36.09,36.25,35.917999,36.169998,RUB
EUR/RUB,10/12/2003,36.16,36.188702,35.776001,35.959999,RUB
EUR/RUB,11/12/2003,35.959999,36.009998,35.506001,35.919998,RUB
EUR/RUB,12/12/2003,35.93,36.16,35.797001,36.07,RUB
EUR/RUB,15/12/2003,35.799999,36.189999,35.702,36.16,RUB
EUR/RUB,16/12/2003,36.150002,36.2752,35.891998,36.029999,RUB
EUR/RUB,17/12/2003,36.02,36.32,35.827,36.27,RUB
EUR/RUB,18/12/2003,36.27,36.367298,36.048,36.1861,RUB
EUR/RUB,19/12/2003,36.281399,36.380001,36.150002,36.240002,RUB
EUR/RUB,22/12/2003,36.16,36.394001,36.141998,36.25,RUB
EUR/RUB,23/12/2003,36.25,36.580002,36.119999,36.240002,RUB
EUR/RUB,24/12/2003,36.259998,36.453899,36.1693,36.41,RUB
EUR/RUB,25/12/2003,36.400002,36.4231,36.34,36.380001,RUB
EUR/RUB,26/12/2003,36.380001,36.57,36.377499,36.470001,RUB
EUR/RUB,29/12/2003,36.48,36.796299,36.393002,36.709999,RUB
EUR/RUB,30/12/2003,36.720001,36.77,36.381001,36.669998,RUB
EUR/RUB,31/12/2003,36.669998,36.950001,36.599998,36.790001,RUB
EUR/RUB,01/01/2004,36.788898,36.788898,36.487801,36.759998,RUB
EUR/RUB,02/01/2004,36.759998,36.8941,36.589001,36.800598,RUB
EUR/RUB,05/01/2004,36.93,37.127998,36.811001,37.07,RUB
EUR/RUB,06/01/2004,37.07,37.419998,36.988998,37.189999,RUB
EUR/RUB,07/01/2004,37.200001,37.25,36.847,36.950001,RUB
EUR/RUB,08/01/2004,36.939999,37.189999,36.431999,37.150002,RUB
EUR/RUB,09/01/2004,37.150002,37.2145,36.706001,37.186901,RUB
EUR/RUB,12/01/2004,37.162201,37.220001,36.771,36.799999,RUB
EUR/RUB,13/01/2004,36.810001,36.931198,36.588001,36.900002,RUB
EUR/RUB,14/01/2004,36.880001,36.880001,36.194,36.52,RUB
EUR/RUB,15/01/2004,36.529999,36.594501,36.221001,36.369999,RUB
EUR/RUB,16/01/2004,36.360001,36.389999,35.521,35.676498,RUB
EUR/RUB,19/01/2004,35.639999,35.75,35.373001,35.560001,RUB
EUR/RUB,20/01/2004,35.549999,36.189999,35.499001,36.16,RUB
EUR/RUB,21/01/2004,36.130001,36.439999,36.044998,36.389999,RUB
EUR/RUB,22/01/2004,36.41,36.549999,36.108002,36.389999,RUB
EUR/RUB,23/01/2004,36.400002,36.43,35.82,35.860001,RUB
EUR/RUB,26/01/2004,35.84,35.939999,35.529999,35.610001,RUB
EUR/RUB,27/01/2004,35.599998,36.009998,35.356998,35.950001,RUB
EUR/RUB,28/01/2004,35.950001,35.98,35.380001,35.43,RUB
EUR/RUB,29/01/2004,35.459999,35.659199,35.099998,35.360001,RUB
EUR/RUB,30/01/2004,35.360001,35.610001,35.091,35.560001,RUB
EUR/RUB,02/02/2004,35.57,35.650002,35.341999,35.540001,RUB
EUR/RUB,03/02/2004,35.709999,35.84,35.495998,35.799999,RUB
EUR/RUB,04/02/2004,35.82,35.84,35.495998,35.720001,RUB
EUR/RUB,05/02/2004,35.709999,36.0546,35.563,35.860001,RUB
EUR/RUB,06/02/2004,35.849998,36.290001,35.571999,36.230202,RUB
EUR/RUB,09/02/2004,36.080002,36.369999,35.939999,36.150002,RUB
EUR/RUB,10/02/2004,36.16,36.434399,36.011002,36.060001,RUB
EUR/RUB,11/02/2004,36.060001,36.610001,35.916,36.57,RUB
EUR/RUB,12/02/2004,36.580002,36.610001,36.285,36.429901,RUB
EUR/RUB,13/02/2004,36.382,36.4907,36.278,36.470001,RUB
EUR/RUB,01/04/2004,34.98,34.990002,34.98,34.990002,RUB
EUR/RUB,27/07/2004,35.27,35.27,35.27,35.07,RUB
EUR/RUB,17/01/2005,36.630001,36.630001,36.630001,36.619999,RUB
EUR/RUB,22/02/2005,36.689999,36.689999,36.689999,36.689999,RUB
EUR/RUB,06/01/2006,34.883999,35.034,34.432999,34.823002,RUB
EUR/RUB,09/01/2006,34.764999,34.915001,34.412998,34.563,RUB
EUR/RUB,10/01/2006,34.335999,34.591,34.132999,34.384998,RUB
EUR/RUB,11/01/2006,34.375,34.610001,34.164001,34.458,RUB
EUR/RUB,12/01/2006,34.500999,34.683998,34.081001,34.284,RUB
EUR/RUB,13/01/2006,34.32,34.577999,34.158001,34.428001,RUB
EUR/RUB,16/01/2006,34.428001,34.620998,34.124001,34.273998,RUB
EUR/RUB,17/01/2006,34.273998,34.448002,34.021,34.228001,RUB
EUR/RUB,18/01/2006,34.228001,34.499001,34.029999,34.18,RUB
EUR/RUB,19/01/2006,34.18,34.431999,33.98,34.186001,RUB
EUR/RUB,20/01/2006,34.186001,34.355999,33.93,34.147999,RUB
EUR/RUB,23/01/2006,34.147999,34.748001,33.998001,34.384998,RUB
EUR/RUB,24/01/2006,34.384998,34.567001,34.182999,34.388,RUB
EUR/RUB,25/01/2006,34.416,34.566002,34.106998,34.257,RUB
EUR/RUB,26/01/2006,34.257,34.466,34.055,34.205002,RUB
EUR/RUB,27/01/2006,34.205002,34.443001,33.804001,33.953999,RUB
EUR/RUB,30/01/2006,33.953999,34.188,33.730999,34.036999,RUB
EUR/RUB,31/01/2006,34.019001,34.305,33.868999,34.154999,RUB
EUR/RUB,01/02/2006,34.154999,34.352001,33.884998,34.051998,RUB
EUR/RUB,02/02/2006,33.944,34.231998,33.793999,34.049999,RUB
EUR/RUB,03/02/2006,34.049999,34.200001,33.747002,33.948002,RUB
EUR/RUB,06/02/2006,33.948002,34.098999,33.638,33.821999,RUB
EUR/RUB,07/02/2006,33.821999,34.051998,33.636002,33.838001,RUB
EUR/RUB,08/02/2006,33.841,34.013,33.602001,33.751999,RUB
EUR/RUB,09/02/2006,33.755001,34.022999,33.605,33.808998,RUB
EUR/RUB,10/02/2006,33.808998,34.039001,33.5,33.650002,RUB
EUR/RUB,13/02/2006,33.650002,33.888,33.416,33.566002,RUB
EUR/RUB,14/02/2006,33.566002,33.748001,33.341999,33.598,RUB
EUR/RUB,15/02/2006,33.598,33.801998,33.375999,33.526001,RUB
EUR/RUB,16/02/2006,33.526001,33.712002,33.353001,33.562,RUB
EUR/RUB,17/02/2006,33.562,33.797001,33.323002,33.535999,RUB
EUR/RUB,20/02/2006,33.535999,33.810001,33.386002,33.622002,RUB
EUR/RUB,21/02/2006,33.599998,33.765999,33.383999,33.584,RUB
EUR/RUB,22/02/2006,33.584,33.775002,33.355,33.612,RUB
EUR/RUB,23/02/2006,33.612,33.860001,33.443001,33.605999,RUB
EUR/RUB,24/02/2006,33.613998,33.764,33.300999,33.500999,RUB
